id,location,date,total_cases,new_cases,total_deaths,new_deaths,mask_use_percentage
10059,North Carolina,2020-09-01,402677.00,169966,7486.00,2769,61.20
1645,North Dakota,2020-04-01,147.00,147,3.00,3,21.30
3295,North Dakota,2020-05-01,1254.00,1107,26.00,23,24.61
5000,North Dakota,2020-06-01,3882.00,2628,90.00,64,30.50
6650,North Dakota,2020-07-01,7506.00,3624,179.00,89,36.80
8355,North Dakota,2020-08-01,14112.00,6606,286.00,107,37.20
10060,North Dakota,2020-09-01,26116.00,12004,435.00,149,39.63
1647,Ohio,2020-04-01,2548.00,2548,65.00,65,18.73
3297,Ohio,2020-05-01,21291.00,18743,1067.00,1002,25.77
5002,Ohio,2020-06-01,57275.00,35984,3273.00,2206,29.00
6652,Ohio,2020-07-01,110140.00,52865,6149.00,2876,56.20
8357,Ohio,2020-08-01,202227.00,92087,9664.00,3515,59.60
10062,Ohio,2020-09-01,326837.00,124610,13829.00,4165,60.10
1648,Oklahoma,2020-04-01,719.00,719,30.00,30,27.87
3298,Oklahoma,2020-05-01,4467.00,3748,260.00,230,38.19
5003,Oklahoma,2020-06-01,11040.00,6573,594.00,334,36.90
6653,Oklahoma,2020-07-01,25152.00,14112,983.00,389,48.80
8358,Oklahoma,2020-08-01,62858.00,37706,1532.00,549,51.00
10063,Oklahoma,2020-09-01,122257.00,59399,2341.00,809,50.50
1649,Oregon,2020-04-01,739.00,737,19.00,19,24.47
3299,Oregon,2020-05-01,3318.00,2579,123.00,104,31.55
5004,Oregon,2020-06-01,7621.00,4303,277.00,154,33.00
6654,Oregon,2020-07-01,16640.00,9019,488.00,211,65.00
8359,Oregon,2020-08-01,35457.00,18817,817.00,329,58.60
10064,Oregon,2020-09-01,62415.00,26958,1284.00,467,60.93
